,number,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,scents_group
582,386,BURBERRY,Burberry Body,499.0,164.35,85,EDP,Women,Fruity,"Woody Cashmeran, Creamy Vanilla, Amber And Musk.","Natural Rose Absolute, Iris And Warm Sandalwood.",4.8,perfumes--addresses,3.9,59,Fruity
583,395,CHOPARD,Happy Spirit,269.0,148.95,75,EDP,Women,Fruity,"Amber, Musk, Cashmere Wood","Honeysuckle, Osmanthus",5.0,AMLAQ,3.9,135,Fruity
584,405,CHOPARD,Happy Spirit,185.0,155.0,75,EDP,Women,Fruity,"Amber, Musk, Cashmere Wood","Honeysuckle, Osmanthus",5.0,Star.perfume,3.9,537,Fruity
585,406,COACH,New York,501.0,183.95,90,EDP,Women,Fruity,Suede Musk Sandalwood Cashmeran,Turkish Rose Gardenia Cyclamen,4.7,Star.perfume,3.9,537,Fruity
586,418,CREED,Aventus,1375.0,593.3,100,EDP,Men,Fruity,"Oak moss, musk, ambergris, and vanilla","Rose, dry birch, Moroccan jasmine and patchouli",5.0,hadayiq baris,3.8,122,Fruity
587,436,CARTIER,La Panthere,695.0,235.85,75,EDP,Women,Fruity,"Oakmoss, Musk, Patchouli, Leather","Gardenia, Rose, Ylang-Ylang, Orange Blossom, Pear",4.7,noon,4.2,98.1K,Fruity
588,449,VERSACE,Versace,216.0,137.45,100,EDP,Women,Fruity,"Musk, Grey Amber And Inoki Wood","Lotus, Plum, Raspberry And Lebanese Blue Cedar",4.4,noon,4.2,98.1K,Fruity
589,461,Marc Jacobs,Daisy Eau So Fresh,330.0,179.4,125,EDT,Women,Fruity,"Musk, Plum, Cedarwood","Violet, Wild Rose, Apple Blossom, Lychee, Jasmine Petals",5.0,noon,4.2,98.1K,Fruity
590,466,Remy Marquis,Shalis,50.35,50.35,100,EDP,Men,Fruity,"Nutmeg, Oakmoss And Sandalwood",Lavender And Basil,5.0,VIP.PARFUME,3.5,244,Fruity
591,471,Paris Hilton,Heiress,224.0,151.0,100,EDP,Women,Fruity,"Violet Leaf, Tahiti Tonka, Light Wood","Jasmine, Tiare Lily, Delightfully Sweet Ylang-Ylang, Honeysuckle, Grenadine",4.4,Abu Al Tayyeb Perfumes,3.6,30,Fruity
592,486,S.T.Dupont,Passenger,310.0,106.15,100,EDP,Women,Fruity,"Iris, Vanilla, White Musk And Sandalwood","Cyclamen, Rose, Gardenia And White Peach",4.9,noon,4.2,98.1K,Fruity
593,517,J.CASANOVA,Pandora,79.95,79.95,50,EDP,Women,Fruity,"Cedar, Moss, Musk, Amber And Sandalwood","Lily-of-the-valley, Rose, Jasmine, Narcissus And Orchid",5.0,VIP.PARFUME,3.5,75,Fruity
594,522,CARTIER,La Panthere,693.0,249.25,75,EDP,Women,Fruity,"Oakmoss, Musk, Leather, Patchouli","Gardenia, Rose, Ylang-Ylang, Orange Blossom, Pear",4.3,noon,4.2,98.1K,Fruity
595,544,BURBERRY,Burberry Body,499.0,148.3,85,EDP,Women,Fruity,"Sandalwood, Cashmerean, Musk, Amber And Vanilla",Roses And Iris,5.0,noon,4.2,98.1K,Fruity
596,550,Genie,1029 Collection,36.0,14.4,25,EDP,Women,Fruity,"Vegetal Amber, Musk And Mahogany","Magnolia, Lotus And Peony",4.0,moon perfume,3.7,199,Fruity
